ALB002;+
ANG001;+
ARG000;+
ARG001;+
ARG003;+
ARG004;+
ARG008;+
ARG009;+
ARG010;+
ARG011;+
ARG020;+
ARG025;+
ARG033;+
ARG039;+
AST000;+
AST001;+
AST003;+
AST009;+
AST010;+
AST012;+
AST019;+
AST020;+
AST022;+
AST028;+
AST041;+
AST042;+
AST045;+
AST058;+
AST083;+
AST093;+
AST098;+
AST102;+
AST105;+
AST107;+
AST112;+
AST116;+
AST117;+
AST121;+
AST126;+
AST127;+
AST136;+
AST138;+
AST140;+
AST142;+
AST145;+
AST146;+
AST147;+
AST149;+
AST153;+
AST183;+
AST193;+
AST200;+
AST206;+
AST223;+
AST234;+
AST239;+
AST242;+
AST250;+
AST306;+
AST307;+
AST308;+
AST312;+
AST313;+
AST315;+
AST324;+
AUS004;+
AUS007;+
AZE001;+
AZE037;+
BAH009;+
BEL001;+
BLG000;+
BLG001;+
BLG002;+
BLG005;+
BLG006;+
BLG008;+
BLG012;+
BLG014;+
BLG016;+
BLG017;+
BLG021;+
BLG023;+
BLG024;+
BLG026;+
BLG031;+
BLG032;+
BLG035;+
BLG041;+
BLG042;+
BLG047;+
BLG096;+
BLG132;+
BLG140;+
BLG388;+
BNG001;+
BNG003;+
BNG004;+
BNG007;+
BNG009;+
BNG014;+
BNG017;+
BNG018;+
BNG019;+
BNG020;+
BNG021;+
BNG022;+
BNG023;+
BNG024;+
BNG025;+
BNG026;+
BNG027;+
BNG029;+
BRN000;+
BRN004;+
BRN005;+
BRU004;+
BRU006;+
BRZ001;+
BRZ002;+
BRZ003;+
BRZ004;+
BRZ005;+
BRZ006;+
BRZ007;+
BRZ014;+
BRZ017;+
BRZ018;+
BRZ020;+
BRZ021;+
BRZ024;+
BRZ028;+
BRZ029;+
BRZ032;+
BRZ033;+
BRZ034;+
BRZ039;+
BRZ040;+
BRZ042;+
BRZ043;+
BRZ044;+
BRZ045;+
BRZ047;+
BRZ048;+
BRZ050;+
BRZ051;+
BRZ053;+
BRZ055;+
BRZ057;+
BRZ060;+
BRZ061;+
BRZ062;+
BRZ065;+
BRZ066;+
BRZ305;+
BUL001;+
BUL002;+
BUL006;+
BUL013;+
CAN001;+
CAN002;+
CAN003;+
CAN008;+
CAN013;+
CAN014;+
CAN015;+
CAN016;+
CAN017;+
CAN018;+
CAN025;+
CAN027;+
CAN028;+
CAN033;+
CAN034;+
CAN035;+
CAN048;+
CAN054;+
CAN061;+
CAN063;+
CAN065;+
CAN068;+
CAN069;+
CAN074;+
CAN075;+
CAN080;+
CAN081;+
CAN084;+
CAN092;+
CAN096;+
CAN100;+
CAN107;+
CAN112;+
CAN113;+
CAN115;+
CAN137;+
CAN149;+
CAN165;+
CAN213;+
CAN218;+
CAN249;+
CAN264;+
CAN272;+
CAN276;+
CAN323;+
CHL004;+
CHL006;+
CHL009;+
CHL010;+
CHL016;+
CHR000;+
CHR001;+
CHR002;+
CHR004;+
CHR006;+
CHR010;+
CHR012;+
CHR013;+
CHR014;+
CHR015;+
CHR018;+
CHR020;+
CHR021;+
CHR022;+
CHR023;+
CHR024;+
CHR025;+
CHR026;+
CHR030;+
CHR031;+
CHR032;+
CHR033;+
CHR034;+
CHR038;+
CHR039;+
CHR040;+
CHR043;+
CHR046;+
CHR048;+
CHR050;+
CHR051;+
CHR054;+
CHR061;+
CHR062;+
CHR063;+
CHR066;+
CHR068;+
CHR070;+
CHR071;+
CHR083;+
CHR087;+
CHR088;+
CHR089;+
CHR091;+
CHR092;+
CHR093;+
CHR095;+
CHR097;+
CHR098;+
CHR099;+
CHR100;+
CHR101;+
CHR102;+
CHR103;+
CHR104;+
CHR105;+
CHR106;+
CHR107;+
CHR108;+
CHR110;+
CHR111;+
CHR112;+
CHR114;+
CHR115;+
CHR116;+
CHR117;+
CHR118;+
CHR119;+
CHR121;+
CHR122;+
CHR123;+
CHR124;+
CHR127;+
CHR128;+
CHR130;+
CHR132;+
CHR133;+
CHR134;+
CHR136;+
CHR137;+
CHR138;+
CHR139;+
CHR140;+
CHR146;+
CHR147;+
CHR148;+
CHR149;+
CHR150;+
CHR152;+
CHR153;+
CHR155;+
CHR157;+
CHR159;+
CHR160;+
CHR161;+
CHR164;+
CHR171;+
CHR172;+
CHR173;+
CHR175;+
